City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Pedernales,DO,2022-05-17 03:14:36,18.0384,-71.744,79.29,73,100,3.76
132,Cidreira,BR,2022-05-17 03:11:22,-30.1811,-50.2056,53.44,76,18,23.71
133,Kaitangata,NZ,2022-05-17 03:14:37,-46.2817,169.8464,55.22,71,100,6.6
134,Hanahan,US,2022-05-17 03:13:34,32.9185,-80.022,77.11,80,75,10.36
135,Sambava,MG,2022-05-17 03:14:37,-14.2667,50.1667,72.23,83,19,11.43
136,Banda Aceh,ID,2022-05-17 03:14:38,5.5577,95.3222,85.82,68,99,9.57
137,Lagos,NG,2022-05-17 03:14:13,6.5833,3.75,78.48,94,100,5.21
138,Sistranda,NO,2022-05-17 03:14:39,63.7256,8.834,33.76,67,18,19.82
139,Coos Bay,US,2022-05-17 03:15:02,43.3665,-124.2179,56.32,85,75,11.5
140,Shubarshi,KZ,2022-05-17 03:19:01,48.5872,57.1869,57.58,66,9,9.04
141,Khatanga,RU,2022-05-17 03:19:02,71.9667,102.5,33.12,93,99,14.56
142,Port Elizabeth,ZA,2022-05-17 03:19:02,-33.918,25.5701,67.32,38,0,5.75
143,Mtambile,TZ,2022-05-17 03:19:03,-5.3833,39.7,78.93,73,7,14.43
144,Baykit,RU,2022-05-17 03:19:04,61.67,96.37,61.52,51,39,4.45
145,Luderitz,NA,2022-05-17 03:19:04,-26.6481,15.1594,73.89,27,0,13.18
146,Carnarvon,AU,2022-05-17 03:19:05,-24.8667,113.6333,73.45,52,0,5.17
147,Grand Gaube,MU,2022-05-17 03:15:48,-20.0064,57.6608,73.8,73,76,5.99
148,Gondanglegi,ID,2022-05-17 03:19:06,-7.7479,112.0132,85.06,66,38,4.18
149,Lorengau,PG,2022-05-17 03:19:06,-2.0226,147.2712,85.48,66,36,8.32
150,Urucara,BR,2022-05-17 03:19:07,-2.5364,-57.76,74.75,99,94,0.96
151,Kartaly,RU,2022-05-17 03:19:08,53.0522,60.6467,53.29,66,11,13.82
152,Ures,MX,2022-05-17 03:19:08,29.4333,-110.4,83.43,18,48,9.17
153,Mocuba,MZ,2022-05-17 03:19:09,-16.8392,36.9856,63.05,98,13,3.96
154,Provideniya,RU,2022-05-17 03:19:09,64.3833,-173.3,33.91,80,0,6.71
155,Fukue,JP,2022-05-17 03:19:10,32.6881,128.8419,71.96,64,20,5.75
156,Adrar,MR,2022-05-17 03:19:11,20.5022,-10.0711,84.24,12,32,14.45
157,Molchanovo,RU,2022-05-17 03:19:11,57.5817,83.7692,70.02,48,99,13.42
158,Kologriv,RU,2022-05-17 03:19:12,58.8275,44.3178,45.5,95,87,6.53
159,Hammerfest,NO,2022-05-17 03:19:13,70.6634,23.6821,36.05,64,75,12.66
160,Marovoay,MG,2022-05-17 03:19:13,-16.1,46.6333,66.69,79,0,4.32
161,Iqaluit,CA,2022-05-17 03:19:14,63.7506,-68.5145,24.53,79,75,8.05
162,Buraydah,SA,2022-05-17 03:19:14,26.326,43.975,79.25,27,0,7.25
163,East London,ZA,2022-05-17 03:15:32,-33.0153,27.9116,67.1,54,0,7.43
164,Tuatapere,NZ,2022-05-17 03:19:15,-46.1333,167.6833,51.04,87,100,5.77
165,Port-Cartier,CA,2022-05-17 03:19:16,50.0334,-66.8654,41.22,97,100,11.18
166,Vardo,NO,2022-05-17 03:19:16,70.3705,31.1107,33.78,75,100,13.8
167,Norman Wells,CA,2022-05-17 03:19:17,65.282,-126.8329,62.64,29,75,0.0
168,Mahebourg,MU,2022-05-17 03:19:17,-20.4081,57.7,73.69,73,40,10.36
