City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
278,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.15,67,37,11.05,scattered clouds,2022-05-20 21:02:13
279,Soyo,AO,-6.1349,12.3689,75.87,83,1,8.3,clear sky,2022-05-20 21:02:13
280,Gorin,RU,51.1983,136.6669,44.96,98,100,2.44,overcast clouds,2022-05-20 21:02:14
281,Talcahuano,CL,-36.7167,-73.1167,54.43,82,6,4.38,clear sky,2022-05-20 21:02:13
282,Karuri,KE,-0.7,37.1833,68.23,67,100,4.47,overcast clouds,2022-05-20 21:02:14
283,Tual,ID,-5.6667,132.75,83.52,69,15,17.94,few clouds,2022-05-20 21:02:15
284,Moranbah,AU,-22.0016,148.0466,61.3,92,100,22.08,overcast clouds,2022-05-20 21:02:15
285,Santa Maria,BR,-29.6842,-53.8069,53.49,79,0,3.36,clear sky,2022-05-20 21:02:16
286,Kotka,FI,60.4664,26.9458,43.86,66,11,12.01,few clouds,2022-05-20 21:02:16
287,Ulaanbaatar,MN,47.9077,106.8832,44.73,57,20,0.0,few clouds,2022-05-20 21:02:16
288,Esperance,AU,-33.8667,121.9,61.34,69,67,7.29,broken clouds,2022-05-20 21:02:17
289,Yara,CU,20.2753,-76.9533,91.54,50,99,5.19,overcast clouds,2022-05-20 21:02:17
290,Uyuni,BO,-20.4597,-66.825,47.21,20,84,10.6,broken clouds,2022-05-20 21:02:18
291,Ouadda,CF,8.0777,22.4007,70.09,93,100,2.93,overcast clouds,2022-05-20 21:02:18
292,Caravelas,BR,-17.7125,-39.2481,68.32,69,2,6.13,clear sky,2022-05-20 21:02:19
293,Ambon,ID,-3.6954,128.1814,75.34,94,40,2.3,scattered clouds,2022-05-20 21:02:19
294,Alugan,PH,12.2188,125.4808,79.93,82,100,7.81,overcast clouds,2022-05-20 21:02:20
295,Bang Lamung,TH,13.047,100.9289,83.57,78,100,13.69,overcast clouds,2022-05-20 21:02:20
296,Vilyuysk,RU,63.7553,121.6247,43.97,64,83,2.66,broken clouds,2022-05-20 21:02:21
297,Nianzishan,CN,47.5167,122.8833,55.8,47,1,6.33,clear sky,2022-05-20 21:02:21
