City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
413,Morro Bay,US,81.48,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
414,Dawei,MM,78.46,moderate rain,14.0833,98.2,Hotel Dawei
417,Inirida,CO,77.85,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
422,Kimbe,PG,76.46,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
425,Maraba,BR,77.18,broken clouds,-5.3686,-49.1178,Hotel Del Principe
427,Mehran,IR,85.78,broken clouds,33.1222,46.1646,بوتیک زنانه بهار
432,Duki,PK,79.99,clear sky,30.1541,68.5728,Bhari Dada Kaka Hotel
433,Atar,MR,91.06,overcast clouds,20.5169,-13.0499,Oumou Elghoura
435,Bitung,ID,76.05,broken clouds,1.4451,125.1824,K2 Lembeh
441,Lorengau,PG,81.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
443,Nuevo Progreso,MX,94.53,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
444,Hamilton,US,88.95,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
445,Pachora,IN,86.67,broken clouds,20.6667,75.35,Hotel Bandhuraj
451,Bandar-E Lengeh,IR,85.71,clear sky,26.5579,54.8807,کافی نت پارس
453,Kulhudhuffushi,MV,83.35,scattered clouds,6.6221,73.07,Haajy Guest House 1
454,Finschhafen,PG,79.14,scattered clouds,-6.6024,147.8681,Cossam Guest House
457,Sand Springs,US,85.23,scattered clouds,36.1398,-96.1089,Magnuson Hotel Sand Springs-Tulsa West
462,Kerema,PG,76.73,light rain,-7.9631,145.7785,Frena Lodge
464,Sakakah,SA,83.23,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
465,San Antero,CO,83.93,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
467,Sinnamary,GF,77.65,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
471,Sabha,LY,75.65,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
474,Coron,PH,78.04,overcast clouds,11.9986,120.2043,Coron Westown Resort
475,Omboue,GA,75.76,overcast clouds,-1.5746,9.2618,Hotel Olako
477,Termiz,UZ,77.43,clear sky,37.2242,67.2783,Hotel Ulugbek
479,Bo Phloi,TH,81.32,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
480,Acarau,BR,79.2,overcast clouds,-2.8856,-40.12,castelo pizzaria
482,Ocos,GT,86.18,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
486,Chandbali,IN,83.43,broken clouds,20.7833,86.7667,Sabitri Bhavan
487,Bali,ID,79.77,broken clouds,-8.5,115.0,Pondok Pitaya
488,Casalmaggiore,IT,76.14,few clouds,44.9939,10.4189,Albergo Delle Industrie
489,Uthal,PK,82.71,scattered clouds,25.8072,66.6219,Al-Mustafa Hotel
492,Trairi,BR,77.77,overcast clouds,-3.2778,-39.2689,janelas do mar
494,Bet Shemesh,IL,77.58,overcast clouds,31.7496,34.9888,Bethlehem Suites Dreams
498,Baihar,IN,87.87,clear sky,22.1,80.55,T3 RESORT & RESEARCH CENTRE
499,Maues,BR,78.98,broken clouds,-3.3836,-57.7186,Hotel Miramar
500,Pasni,PK,82.11,clear sky,25.2631,63.471,Kashmiri Hotal
513,Bandiagara,ML,93.4,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
515,Porto Nacional,BR,78.8,broken clouds,-10.7081,-48.4172,Vila Real Hotel
525,Roebourne,AU,75.38,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
530,Lewistown,US,76.95,broken clouds,40.5992,-77.5714,Quality Inn & Suites
531,Gat,IL,79.39,overcast clouds,31.61,34.7642,OlusHome
533,Yarada,IN,86.32,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
536,Tautira,PF,79.45,light rain,-17.7333,-149.15,Pension Oaoa
541,Tomatlan,MX,88.75,clear sky,19.9333,-105.25,El Salvial
544,Brigantine,US,75.2,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
549,Ferme-Neuve,CA,76.03,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
550,Bodden Town,KY,84.99,overcast clouds,19.2833,-81.25,Will T Place
552,Urucara,BR,78.06,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
554,Mitsamiouli,KM,79.54,few clouds,-11.3847,43.2844,Foyer ADM
557,Miraflores,MX,83.16,broken clouds,19.2167,-98.8083,Hotel Mansión
563,Pacific Grove,US,75.02,clear sky,36.6177,-121.9166,Lovers Point Inn
565,Takoradi,GH,79.29,moderate rain,4.8845,-1.7554,Raybow International Hotel
572,Lamar,US,92.64,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
578,Mabini,PH,75.22,overcast clouds,15.6,120.9833,Anya's Private Pool
592,Kinablangan,PH,77.63,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
599,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
600,Vaitape,PF,80.28,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
603,Kudahuvadhoo,MV,83.28,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
